target_name,hedge_name,h_full,h_median,h_iqr,h_cv,sign_flips_%,r2_median,r2_iqr,r2_p05,windows_r2_above_25%
Copper,Brent crude,0.2162923573696883,0.19190205739565647,0.20716152142191213,0.8710994921214892,6.769016050244243,0.06541918392798465,0.13096910640647325,0.0009471797781460747,7.117934403349616
WTI crude,Copper,0.4462829586637565,0.2911948542881693,0.37390513871410136,1.0088901057929358,6.6294487090020935,0.07518359600479607,0.12193385304447463,0.0026469075186611674,7.955338450802513
Copper,WTI crude,0.22694220130255902,0.21130174501595195,0.193763413293687,0.7947432438422848,6.6294487090020935,0.07518359600479607,0.12193385304447463,0.0026469075186611674,7.955338450802513
RBOB gasoline,Copper,0.5422861411512391,0.3103962657467522,0.5120621934055615,1.0936334470965987,8.792742498255409,0.05504661522410238,0.10967930861649075,0.00038820015763853916,4.221912072575018
Copper,RBOB gasoline,0.14788357485847772,0.14341676820223803,0.13842992530549236,0.958487537184058,8.792742498255409,0.05504661522410238,0.10967930861649075,0.00038820015763853916,4.221912072575018
NY Harbor ULSD,Copper,0.5004951249373935,0.29075557649703737,0.47129469256625417,1.4284382816616161,11.584089323098395,0.060260848034520614,0.10501497852318165,0.00045217433886762565,2.8960223307745987
Copper,NY Harbor ULSD,0.09661059465994513,0.14066509660877025,0.17360259347106932,0.9786765987881467,11.584089323098395,0.060260848034520614,0.10501497852318165,0.00045217433886762565,2.8960223307745987
Copper,Soybeans,0.348057448765962,0.33774012761802064,0.36975506691398874,1.0412946712539024,9.874389392882065,0.03633135123132018,0.08325145536507704,0.00045645177824791205,0.8025122121423587
Soybeans,Copper,0.1725692256690362,0.10097891010877276,0.14956663045542593,0.9718599656045197,9.874389392882065,0.03633135123132018,0.08325145536507704,0.00045645177824791205,0.8025122121423587
RBOB gasoline,Platinum,0.5435271771864247,0.307640042575404,0.563732997607796,1.3989837158083496,18.248429867411026,0.023981568974627325,0.0602648800706254,0.00029147996245276856,1.5352407536636425
Platinum,RBOB gasoline,0.07296684891813478,0.05741193237351976,0.08684459321915673,1.7567359160366112,18.248429867411026,0.023981568974627325,0.0602648800706254,0.00029147996245276856,1.5352407536636425
Brent crude,Platinum,0.4474623255945555,0.28686284430343456,0.4060209517173206,1.2331502280453406,14.759246336357293,0.038136475558023616,0.07041808706290192,0.0003341364484712021,1.6399162595952546
Platinum,Brent crude,0.1100459316572961,0.10589177338530553,0.11902464090890287,1.32206465728932,14.759246336357293,0.038136475558023616,0.07041808706290192,0.0003341364484712021,1.6399162595952546
NY Harbor ULSD,Platinum,0.5687002766026436,0.33602331649308703,0.4641361964583619,1.6218645676573313,14.79413817166783,0.03704643682957884,0.06472958349370779,0.0006901246502689051,0.6280530355896721
Platinum,NY Harbor ULSD,0.05404073356099671,0.07850377102359735,0.10476223385462995,1.2591443193010634,14.79413817166783,0.03704643682957884,0.06472958349370779,0.0006901246502689051,0.6280530355896721
WTI crude,Platinum,0.4721754759370748,0.30594365796773426,0.412973396987161,1.1908999218741323,12.456385205861828,0.039426084893112126,0.07254843739665513,0.0004980171606071631,1.9190509420795536
Platinum,WTI crude,0.1182010348190725,0.10876025884636473,0.10759875178735283,1.3500189192036223,12.456385205861828,0.039426084893112126,0.07254843739665513,0.0004980171606071631,1.9190509420795536
NY Harbor ULSD,Soybeans,0.6419956865125835,0.4281290056466468,0.6180007816283243,1.1191987818444198,11.549197487787858,0.03436038054829431,0.07695528355534999,0.0002850600729316125,1.0816468946266573
Soybeans,NY Harbor ULSD,0.06144257831212054,0.05485982083688795,0.08311946659414077,1.1681772347693242,11.549197487787858,0.03436038054829431,0.07695528355534999,0.0002850600729316125,1.0816468946266573
Gold,Copper,0.2960677328262053,0.3172233220225592,0.3988322644393681,1.3509643446612478,14.898813677599442,0.07785961877760329,0.15229542722836703,0.0011757133394289137,13.817166782972784
Copper,Gold,0.18411186140953298,0.1870991265349061,0.23895876532532814,0.984840485260687,14.898813677599442,0.07785961877760329,0.15229542722836703,0.0011757133394289137,13.817166782972784
Brent crude,Soybeans,0.47454510439485603,0.3336346194433236,0.46077983697360114,1.0479135446926213,12.03768318213538,0.028722842068837816,0.07582216842867197,0.00027419333962230364,0.034891835310537335
Soybeans,Brent crude,0.1175423959302723,0.06673903002618539,0.10916008117312909,1.020455621680176,12.03768318213538,0.028722842068837816,0.07582216842867197,0.00027419333962230364,0.034891835310537335
WTI crude,Soybeans,0.48397428750841565,0.36701358035784,0.46949227587331677,0.989157726194877,9.630146545708303,0.0354170245116118,0.07580850009352211,0.00035941333736471125,0.06978367062107467
Soybeans,WTI crude,0.12202242918799237,0.07113600219133294,0.10079179879202936,0.947499958004897,9.630146545708303,0.0354170245116118,0.07580850009352211,0.00035941333736471125,0.06978367062107467
Coffee C,Soybeans,0.23674274890088223,0.2568049423396761,0.36071159480367887,1.564255531062179,17.690160502442428,0.02979338979914213,0.06408592472596998,0.0002665883747667336,0.8374040474528961
Soybeans,Coffee C,0.1123363553037193,0.07734559933501152,0.15186245941464865,1.1242982232848282,17.690160502442428,0.02979338979914213,0.06408592472596998,0.0002665883747667336,0.8374040474528961
Brent crude,Corn,0.7101206373036488,0.5252243883075434,0.9388114248283231,1.4914786865707683,16.154919748778788,0.021275632814339057,0.05788980273200591,0.00016501401619689398,2.2679692951849266
Corn,Brent crude,0.05030052502291989,0.02977303562810453,0.05027781785367493,1.140447258204378,16.154919748778788,0.021275632814339057,0.05788980273200591,0.00016501401619689398,2.2679692951849266
WTI crude,Corn,0.7197940129694292,0.5200333781632054,0.8736874366584797,1.5028851825932457,16.573621772505234,0.021449649694717403,0.04809902996848576,0.00019420871819490063,2.3377529658060014
Corn,WTI crude,0.05189780021262583,0.02977442718125507,0.04838598196432588,1.110220175931087,16.573621772505234,0.021449649694717403,0.04809902996848576,0.00019420871819490063,2.3377529658060014
WTI crude,Silver,0.14937014416198133,0.11557642631970635,0.21814889800375298,1.283794898237521,19.74877878576413,0.02882130221760027,0.08507980051675791,0.00038963710701569185,2.407536636427076
Silver,WTI crude,0.19706594468023747,0.17232579897555064,0.2797023747902301,2.393506948114035,19.74877878576413,0.02882130221760027,0.08507980051675791,0.00038963710701569185,2.407536636427076
NY Harbor ULSD,Corn,0.928981398006654,0.6688923073958819,1.0078460852578868,1.6353024698019991,18.3182135380321,0.021833914820837876,0.04934740923508191,0.00015011183729794967,1.5352407536636425
Corn,NY Harbor ULSD,0.025425393421967594,0.020734294966289795,0.043091749179618166,1.23433356559979,18.3182135380321,0.021833914820837876,0.04934740923508191,0.00015011183729794967,1.5352407536636425
Copper,Coffee C,0.17737121366311015,0.14431221630255106,0.191054167536804,1.0640889654869627,13.991625959525472,0.02949081388644703,0.059001181782714004,0.0003519132877238261,1.779483600837404
